high,best_bid,last,cur,symbol,best_ask,vwap,max_bid,volume,low,min_ask,time
0.00752694,0.00534261,0.00752694,PIVX,PIVX/ETH,0.0083426,0.00749242,0.00752694,21.15423761,0.00741376,0.00741376,Mon Nov 27 18:27:08 2017
0.0,8.51055,0.0,LEO,LEO/RUR,26.9999,0.0,8.51055,0.0,0.0,26.0,Mon Nov 27 18:27:08 2017
0.18687,0.141,0.14003,OXY,OXY/USD,0.18679,0.14464883,0.18687,1356.52049464,0.14001,0.14001,Mon Nov 27 18:27:08 2017
0.0,0.0006,0.0,OD,OD/BTC,0.00060018,0.0,0.00050227,0.0,0.0,0.00076533,Mon Nov 27 18:27:08 2017
0.00125211,0.00109397,0.00108788,CTR,CTR/ETH,0.00120367,0.00109478,0.00125211,2013.55331133,0.00101891,0.00101891,Mon Nov 27 18:27:08 2017
0.00022088,0.00019029,0.00019156,PPC,PPC/BTC,0.00020205,0.00019963,0.00022088,6332.85289756,0.00018614,0.00018614,Mon Nov 27 18:27:08 2017
0.0,70.0,0.0,DGD,DGD/USD,437.99,0.0,70.0,0.0,0.0,432.9,Mon Nov 27 18:27:08 2017
0.00020936,0.00017716,0.00017717,TX,TX/BTC,0.00018299,0.0001921,0.00023,19582.0640894,0.00017717,0.00016,Mon Nov 27 18:27:08 2017
90.0,80.0,90.0,SIB,SIB/RUR,90.0,86.68463477,90.0,690.09223276,85.0,84.46,Mon Nov 27 18:27:08 2017
2.986e-05,2.152e-05,2.15e-05,XRL,XRL/BTC,2.499e-05,2.381e-05,9e-05,57709.3995339,1.5e-05,1.085e-05,Mon Nov 27 18:27:08 2017
0.00246905,0.0017724,0.00246905,EDG,EDG/ETH,0.00246906,0.00191787,0.00246905,31.20482186,0.00189443,0.00189443,Mon Nov 27 18:27:08 2017
3.5,3.2111,3.5,PIVX,PIVX/USD,3.95,3.5,3.5,19.40783,3.5,3.5,Mon Nov 27 18:27:08 2017
0.048,0.0321,0.04789,ADZ,ADZ/USD,0.0477,0.04640674,0.048,4592.6054958,0.02819,0.02817,Mon Nov 27 18:27:08 2017
0.0,0.32036,0.0,CTR,CTR/USD,0.693,0.0,0.32036,0.0,0.0,0.693,Mon Nov 27 18:27:08 2017
0.00049872,0.000435,0.00047997,TAAS,TAAS/BTC,0.00047997,0.00048303,0.00049873,470.69353443,0.00042024,0.00042024,Mon Nov 27 18:27:08 2017
1e-08,0.0,1e-08,REE,REE/BTC,1e-08,1e-08,1e-08,1847484.52785,1e-08,1e-08,Mon Nov 27 18:27:08 2017
7.5,4.40021,6.0,CLOAK,CLOAK/USD,7.43999,4.91588284,7.5,94.49792844,3.6,3.6,Mon Nov 27 18:27:08 2017
0.0,0.00350018,0.0,PIVX,PIVX/DASH,0.02477687,0.0,0.0035,0.0,0.0,0.02477687,Mon Nov 27 18:27:08 2017
0.0,4.55e-05,0.0,ENJ,ENJ/ETH,5.116e-05,0.0,4.855e-05,0.0,0.0,5.116e-05,Mon Nov 27 18:27:08 2017
4.999e-05,4.066e-05,4.099e-05,TRST,TRST/BTC,4.728e-05,4.774e-05,4.999e-05,1661.34774419,4.066e-05,4.066e-05,Mon Nov 27 18:27:08 2017
0.0031164,0.00057051,0.00057024,MTL,MTL/BTC,0.00311629,0.00128226,0.00061573,439.2571667,0.00050374,0.00050374,Mon Nov 27 18:27:08 2017
5.99987,5.3,5.41,NVC,NVC/USD,5.99972,5.44099343,5.99987,3.16637,5.41,5.41,Mon Nov 27 18:27:08 2017
0.0095,0.0052,0.0078,VOISE,VOISE/USD,0.0078,0.00661058,0.0095,8646.20325405,0.00602,0.00602,Mon Nov 27 18:27:08 2017
3.42e-06,3e-06,3.1e-06,FUNC,FUNC/BTC,3.37e-06,3.24e-06,3.42e-06,48074.2107792,3.1e-06,3.1e-06,Mon Nov 27 18:27:08 2017
0.000133,7e-05,0.000133,UNY,UNY/LTC,0.00013278,6.385e-05,0.000133,1097.14521779,5e-05,5e-05,Mon Nov 27 18:27:08 2017
